Animal,Nombre científico,Habitat,Estado de conservación,Distribución,img,img2,url,info
Picaflor de Arica,Eulidia yarrellii,Matorrales valles fluviales,Peligro Crítico,Arica y Parinacota,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/picaflor1.jpg,http://static.t13.cl/images/sizes/1200x675/1417019408_picaflooooor.jpg,https://es.wikipedia.org/wiki/Eulidia_yarrellii,"El Picaflor de Arica (Eulidia yarrellii) es una de las aves más pequeñas del mundo y, sin duda, la menor de Chile. Descrita por Goodall como “la guagua de los picaflores”, mide entre 7 y 8 cm y su peso varía entre los 2,3 a 2,5 gramos. Presenta un claro dimorfismo sexual, los machos se caracterizan por un parche en la garganta de un color púrpura iridiscente con tonalidades azules, mientras que las hembras son completamente blancas desde la garganta a abdomen."
Gato montes andino,Leopardus jacobitus,Zonas de vegetación no muy altas,En Peligro,Tarapacá,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/gatomontes.jpg,https://www.fotonaturaleza.cl/data/media/2/Gato_andino-6.jpg,https://es.wikipedia.org/wiki/Leopardus_jacobitus,Es un felino de tamaño medio. Los adultos miden entre 740 y 850 mm; la cola mide entre 410 y 485 mm.; esta es muy larga y mide entre el 66 y 75% del largo de la cabeza y cuerpo. Estas medidas se saben por las pieles. Del peso solo se sabe que un subadulto de perú pesaba 4 kg y una hembra adulta de Bolivia pesaba 4.5 kg.
Chinchilla Cordillerana,Chinchilla Chinchilla,Ambientes rocosos,En Peligro,Atacama,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/chinchilla.jpg,https://t2.ea.ltmcdn.com/es/images/1/0/2/img_animales_en_peligro_de_extincion_en_chile_23201_paso_0_600.jpg,https://es.wikipedia.org/wiki/Chinchilla_chinchilla,"La chinchilla cordillerana (chinchilla brevicaudata), es un pequeño roedor que habita en los Andes de Chile, Perú, Bolivia y argentina. Es muy difícil de encontrar, ya que estuvo prácticamente exterminado."
Becacina pintada,Nycticryphes semicollaris,Planicies encharcadas,En Peligro,Coquimbo,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/pintada.jpg,http://www.infoanimales.com/wp-content/uploads/2018/02/Informaci%C3%B3n-sobre-la-becacina-pintada-1.jpg,https://es.wikipedia.org/wiki/Nycticryphes_semicollaris,"La becacina pintada (Nycticryphes semicollaris), aguatero o aguatero americano es un ave integrante de la familia Rostratulidae, la cual se encuentra en Brasil, Argentina, Uruguay, Paraguay y Chile"
Huillín,Lontra provocax,Lagos y ríos con vegetación densa,En Peligro,Araucanía,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/huillin.jpg,https://www.ecured.cu/images/thumb/6/6a/Huillin2.jpg/350px-Huillin2.jpg,https://es.wikipedia.org/wiki/Lontra_provocax,"El Huillín o nutria de río es un mamífero perteneciente al grupo de los mustélidos con el chingue, visón, quique, hurón. Está adaptado para vivir en el agua, aunque necesita de las orillas con una adecuada vegetación para tener sus madrigueras donde criar, secarse o descansar. Tiene un cuerpo alargado de hasta 70 cm de largo, con una cola de 40 cm y pesan entre 5 a 6 kilos, cabeza y orejas pequeñas pegadas a la cabeza, con extremidades y membranas en sus patas entre los dedos para poder nadar y además posee grandes bigotes con los que ubica a sus presas, camarones, pancoras y peces. El color de pelaje es café oscuro en la parte superior y blanco plateado en la zona de su vientre."
Huemul,Hippocamelus bisulcus,Bosques,En Peligro,Aysén,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/huemul.jpg,http://web.observador.cl/wp-content/uploads/2017/08/huemul-chileno-1024x631.jpg,https://es.wikipedia.org/wiki/Hippocamelus_bisulcus,"Solitario y hermoso, el huemul del sur de la Patagonia (Hippocamelus bisulcus) es un icono del Parque Patagonia y de Chile. Es una especie nativa considerada símbolo de Chile, se encuentra retratado junto al cóndor andino en el escudo nacional del país. A pesar de su alto nivel de reconocimiento, el huemul está clasificado como una especie en peligro de extinción por la UICN, con una población global de menos de 1.500 individuos. Dado que el 10% de los huemules que quedan en el mundo residen dentro de los límites del Parque Patagonia, Conservación Patagónica considera el proyecto de recuperación del huemul como pieza clave dentro de su programa de vida silvestre."
Zorro de Darwin,Lycalopex fulvipes,Bosques e Isla Grande Chiloé,En Peligro,Bio-Bío y Araucanía (+Chiloé),https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/zorro.jpg,http://www.animalesextincion.es/images/noticias/2403090514_zorro_darwin_22.jpg,https://es.wikipedia.org/wiki/Lycalopex_fulvipes,"El zorro chilote (Lycalopex fulvipes), es el canido más pequeño que habita Chile. Su población está circunscrita principalmente a la Isla Grande de Chiloé, el resto se encuentra en una muy baja densidad en la Cordillera de Nahuelbuta, en el Parque Oncol, el Parque Nacional Alerce Costero y en la Reserva Costera Valdiviana, estas últimas poblaciones son de reciente descubrimiento."
Taruca,Hippocamelus antisensis,Faldeos rocosos,Vulnerable,Tarapacá,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/taruca.jpg,http://www.fotonaturaleza.cl/data/media/2/IMGP54405.jpg,https://es.wikipedia.org/wiki/Hippocamelus_antisensis,-
Picaflor de J.Fernández,Sephanoides fernandensis,Bosques,Peligro Critico,Isla Robinson Crusoe,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/picaflor2.jpg,http://www.conservacionybiodiversidad.cl/wp-content/uploads/2016/03/Picaflor_de_Juan_Fernandez.jpg,https://es.wikipedia.org/wiki/Sephanoides_fernandensis,-
Gato Colocolo,Leopardus colocolo,"Pastizales abiertos, bosques húmedos y regiones montañosas",En Peligro,Maule a Aysén,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/gatocolocolo.jpg,http://media.biobiochile.cl/wp-content/uploads/2017/05/colo3gde1.jpg,https://es.wikipedia.org/wiki/Leopardus_colocolo,-
Pingüino de Humboldt,Spheniscus humboldti,Corriente de Humboldt,Vulnerable,Arica y Parinacota a Los Lagos,https://raw.githubusercontent.com/auguslatorre/doceava_clase/master/img/ping%C3%BCino.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Spheniscus_humboldti_%28Humboldt-Pinguine_-_Humboldt_Penguins%29_-_Weltvogelpark_Walsrode_2013-01.jpg/1200px-Spheniscus_humboldti_%28Humboldt-Pinguine_-_Humboldt_Penguins%29_-_Weltvogelpark_Walsrode_2013-01.jpg,https://es.wikipedia.org/wiki/Spheniscus_humboldti,
